Customer_ID,Actual_Churn,Predicted_Churn,Churn_Probability
3ffe698f7b4f4dafb375d23ca66d34e2,1,1,1.0
080787fae10405ec2d8c79d6f5b5292c,1,1,1.0
4274e93d39054e966123897e6f24c26e,1,1,1.0
d07d473503c6bef7cf1922fab1f88f3e,1,1,1.0
f3622c458e9083620423f00b4778a98b,1,1,1.0
272602a26c90508b455a691e72dad8b6,1,1,1.0
d34d023dc8ac358ab2ea8f70029a0de3,1,1,1.0
e9a9e60eb6bae5e8c7c4c1b74ac0e8f4,1,1,1.0
e9a9e60eb6bae5e8c7c4c1b74ac0e8f4,1,1,1.0
0a86a6812cfc542423aaaa2d188ee493,1,1,1.0
6624ff016e9d21890a51b4091b3006c7,1,1,1.0
80dca8b024e31c7a6d6a850d57e5788b,1,1,1.0
0eb67391f535d8837285a8577ab1a9cb,1,1,1.0
93054a281164e7ba0eb42ad306b7c15a,1,1,1.0
14c774e19de9db650ae10a1062445957,1,1,1.0
0fbc33b04d92b5cd1049eb3f2d4cfaf9,1,1,1.0
aaa7ca7ca76b632795dcc7a80097bae1,1,1,1.0
8d3a847b95a95945621895d1b1bcdd86,1,1,1.0
d8a90bff8ae32c141b8e73e30ac730df,1,1,1.0
22dc23342f14ea066c71cc3778c0a10c,1,1,1.0
8c662d57a3447e8015e8261befc2d3c0,1,1,1.0
01957677ffae06c92a67c7518ee1944b,1,1,1.0
35a20428ff2b61563bcd48676c037afe,1,1,1.0
f34ae043c2954b058e5f171d24774def,1,1,1.0
d34d023dc8ac358ab2ea8f70029a0de3,1,1,1.0
7590deb8871805e433f52e8acfc0225e,1,1,1.0
f0c8643483f79d21a7a00ee5eac58229,1,1,1.0
3b2e9ef3709f3fedde3e501c2f76c9b8,1,1,1.0
e9a9e60eb6bae5e8c7c4c1b74ac0e8f4,1,1,1.0
cb315f7284b2c1db5a606ff80a9682d7,1,1,1.0
2f6ca4cd58426e5b63d5e00308e9df1b,1,1,1.0
e561f1d90dd8fa93f7cb9dc17d4183eb,1,1,1.0
2f69534f95e449915588a68ad7c28cb0,1,1,1.0
3a114f52a1243c46d33707ccd2cf5fb7,1,1,1.0
05d1a42b97770b2b3eea0456b98aa562,1,1,1.0
7ab4bf4878d8f7661dfc20e9b8e18011,1,1,1.0
d3e0ebe27982090ff5aff54fe8624449,1,1,1.0
b5e214e0bbaa203991143fe6bc9776c2,1,1,1.0
280d5d6f64687927999d528d928877f6,1,1,1.0
668f7434bec59098207e3032e6202e68,1,1,1.0
d8346d0fe3e377a2c9a73f66642aaf7c,1,1,1.0
2387f0f12d27b83b20133bfb905918f9,1,1,1.0
80f4f8ca43bd0a09023eeea121bbc7b5,1,1,1.0
ff4108131ddf8a3ff3a3ea075f70574e,1,1,1.0
470db85da390d7185c4e209da94e4f9a,1,1,1.0
be3c7fcffe32b94c2b5a6b7891482651,1,1,1.0
0e6dc64d71621dfc44db9ab92c7e0be8,1,1,1.0
ee60fad40a7f445fc7569c5639a897cc,1,1,1.0
0518c7bbc58d30eac47fb98c83a5c0f4,1,1,1.0
9c48d7255877d234f7201b942999ac28,1,1,1.0
37a0d112aa8d4f40b938a5b681605a97,1,1,1.0
65507d1fb4a37583198fc961e1ce1367,1,1,1.0
22d203ad30ae27eb51defb632d7faf2d,1,1,1.0
f11a37dbde4649e4a58f558691021c96,1,1,1.0
572afcf7813848b2486aa62577f4503a,1,1,1.0
3f51055a9cd53747eff132db40350375,1,1,1.0
18d1a75872e188fb748473e870625348,1,1,1.0
3f649cc6d6ca1a88f9493be26f8e9395,1,1,1.0
9452bbb64f6a62399415b925057d73c8,1,1,1.0
32fb1dfb29c315c3452172bc66965df5,1,1,1.0
0cb71d9866f0b7f42572d18b9e250628,1,1,1.0
ed8f613710f62e966b3f8ec74aa30d4c,1,1,1.0
b876d5e7a3f64fc2719dcf5a77303da8,1,1,1.0
c1ef2d14e3216e1f6cd275d80b51f4a8,1,1,1.0
4a319e8a475bd667ff133355ec037a2a,1,1,1.0
